Rank,Gene_Index,Gene_Name,Score
1,4,DIFF_GENE_4,4.888011591309323
2,1,DIFF_GENE_1,4.346136122076314
3,3,DIFF_GENE_3,2.4632939465799404
4,0,DIFF_GENE_0,2.141406059778041
5,2,DIFF_GENE_2,1.3717203446766058
6,5,STABLE_GENE_5,0.000799351095510288
7,16,STABLE_GENE_16,0.0003752667269459747
8,19,STABLE_GENE_19,0.00034634442682266017
9,10,STABLE_GENE_10,0.00023912809804676525
10,6,STABLE_GENE_6,0.00021625207773444058
11,18,STABLE_GENE_18,0.00014865172556146234
12,14,STABLE_GENE_14,0.00014164581600514597
13,12,STABLE_GENE_12,0.00012206705439659372
14,17,STABLE_GENE_17,0.00011838272142036853
15,15,STABLE_GENE_15,0.0001123143474187031
16,9,STABLE_GENE_9,8.310620312047782e-05
17,13,STABLE_GENE_13,6.766775211340102e-05
18,7,STABLE_GENE_7,6.252249615046438e-05
19,11,STABLE_GENE_11,5.7191966846314756e-05
20,8,STABLE_GENE_8,1.8273806461807978e-05
